ref,nome,tags_seo,produtos_similares_ref,descritivo_do_produto,composi_o,altura,largura,profundidade,category,stock,price,peso,url
SDJ01,"Je m'Aime","Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ02,SDJ03,SDJ04,SDJ08,SDJ09,","Todo o amor e cuidado do mundo. De mim para mim!","* Cesto de fibras naturais
* After Sun Be Plus Natural Care
* Açúcar de banho Lavanda e Camomila Olea Saboaria
* Escova de cabelo de madeira
* Faixa de cabelo para tratamento de beauté
* Tag de coração em couro Abbia
* Coffe Scrub Be Plus Natural Care
* Espátulas de beleza
* Barra Citrus Cúrcuma Olea Saboaria

",24,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"559,62","1,5",https://abbiacasa.com.br/import-image/SDJ01.jpg
SDJ02,Riviera,"Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ01,SDJ03,SDJ04,SDJ06,SDJ08,","Como um banho de sol para aquecer o corpo e a alma!","* Chá Organe
* Escova de dentes de madeira
* Lixa de madeira ecológica
* Sabonete de arroz e aveia Videira
* Bowl de metal esmaltado
* Água Funcional Olea Saboaria 
",7,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"455,10","1,1",https://abbiacasa.com.br/import-image/SDJ02.jpg
SDJ03,Marseille,"Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ01,SDJ02,SDJ04,SDJ06,SDJ08,","Um toque inspirador e delicado de Provence.","* Cerâmica Folha
* Gargantilha Letras banhada a ouro
* Barra Citrus Cúrcuma Olea Saboaria
* Caixa Vendôme
* Xícara de porcelana
* Sabonete líquido facial Vitamina C Be Plus Natural Care
* Home Spray Flor de Cerejeira The Candle Store
",20,26,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"507,50","1,5",https://abbiacasa.com.br/import-image/SDJ03.jpg
SDJ04,"Love 2 Love","Kit, Itens para a Casa, Presente, Produto Nacional, Aroma para a Casa, Decoração","SDJ02,SDJ06,SDJ08,SDJ09,SDJ10","Perfeito para dar um boost poderoso de amor e autocuidado.","* Caixa de fósforos
* Vela aromática Cereja Negra e Peônea The Candle Store 
* Cesto de fibras naturais
* Pássaro em pedra
* Home Spray Flor de Cerejeira e Pamplemousse The Candle Store
* Tag de mala em couro Abbia
",15,32,32,"SacDuJour,Curiosidades e Kits,Novidade",1,"527,40","1,5",https://abbiacasa.com.br/import-image/SDJ04.jpg
SDJ05,"Confort Kitchen","Kit, Presente, Itens para a Cozinha, Objetos para Cozinha, Produtos para Decoração da Cozinha, Utilitário","SDJ01,SDJ02,SDJ03,SDJ07,SDJ10","Seleção de produtos especiais para levantar o astral da sua cozinha.","* Bowl de bambu 
* Pegador de madeira
* Fouet
* Pano de prato de algodão
* Potinho e pilão de pedra
* Bloco de notas para receitas
* Garrafa de água em vidro 
* Jogo de colheres de pau
* Bandeja para aperitivo em bambu

",22,50,43,"SacDuJour,Curiosidades e Kits,Novidade",1,"851,00",4,https://abbiacasa.com.br/import-image/SDJ05.jpg
SDJ06,"Sun Delight","Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Aroma para a Casa","SDJ01,SDJ02,SDJ03,SDJ04,SDJ09,","Sucesso absoluto para recarregar as energias e sorrir à toa.","* Aromatizador de ambientes Wild Lemon Grass Therapy
* Bandeja Creta
* Vela perfumada Rainforest Therapy
* Caixa Vendôme
* Sabonete líquido para mãos Videira
",20,30,23,"SacDuJour,Curiosidades e Kits,Novidade",1,"907,10","4,100",https://abbiacasa.com.br/import-image/SDJ06.jpg
SDJ07,"Weekend Bliss","Kit, Presente, Itens para a Cozinha, Objeto para Cozinha, Produtos para Decoração da Cozinha, Utilitário","SDJ01,SDJ05,SDJ06,SDJ09,SDJ10","Equipar a cozinha e receber amigos vai fazer seu fim de semana perfeito.","* Bolsa Eco - Abbia
* Garrafa de água em vidro
* Abridor de garrafas
* Tábua de madeira 
* Set de cerâmica Trevo
* Espremedor de frutas Cottage
* Paninho biodegradável para limpeza
* Pratinhos para aperitivo em bambu 
* Pegador de madeira
* Escumadeira de madeira

",54,42,20,"SacDuJour,Curiosidades e Kits,Novidade",1,"1 467,90","3,326",https://abbiacasa.com.br/import-image/SDJ07.jpg
SDJ08,"Bela da Tarde","Kit, Beleza, Produtos de Beleza, Curadoria de Beleza, Presente, Produto Nacional ","SDJ01,SDJ02,SDJ03,SDJ06,SDJ08","Experiência de um spa só seu, onde você quiser! ","* Máscara de argila verde Be Plus Natural Care
* Bucha orgânica para banho
* Organe Chá Funcional
* Colher de pau
* Disco de bucha natural 
* Bowl de madeira
* Bucha esfoliadora orgânica
* Hidratante corporal Skin Savior Be Plus Natural Care
* Barra de carvão ativado vegetal Olea Saboaria
* Scrub de café Be Plus Natural Care
* Tônico para o rosto e corpo de alecrim orgânico Olea Saboaria

",24,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"728,00","2,200",https://abbiacasa.com.br/import-image/SDJ08.jpg
SDJ09,"Positive Vibes","Kit, Presente, Perfume Autoral, Perfume, Acessório, Brinco, Brinco de Design Nacional, Carteira, Carteira em couro","SDJ01,SDJ03,SDJ04,SDJ06,SDJ08,","Você merece, sim! Produtos incríveis e seu astral nas alturas.","* Hidratante para mãos Videira
* Caixa Vendôme
* Eau de parfum Figorativo L’Envie
* Carteira em couro Mini - Abbia
* Brinco Blossom
* Óleo facial, corporal e capilar Videira",25,25,25,"SacDuJour,Curiosidades e Kits,Novidade",1,"1 065,50","1,5",https://abbiacasa.com.br/import-image/SDJ09.jpg
SDJ10,"Equilíbrio Spa","Kit, Presente, Bem estar, Wellness, Produto Naturail, Utilitário","SDJ04,SDJ05,SDJ06,SDJ07,SDJ010","Este é o melhor aliado para colocar tudo em harmonia!","* Par de xícaras em porcelana
* Tag em couro Abbia
* Chaleira
* Pratinho de bambu
* Organe Chá Funcional
* Bandeja Gaiola
",23,50,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"655,66","1,5",https://abbiacasa.com.br/import-image/SDJ10.jpg
BEA01,"Esfoliante Natural de Café","Produto de Beleza, Esfoliante, Esfoliante para Rosto, Esfoliante para Corpo, Esfoliante Natural, esfoliante de Café, Livre de Crueldade Animal","BEA08,BA09,BA19,BA20,BA21,","Boa pedida para retirar a camada de células mortas que impede a respiração e hidratação da pele. Assim, ela fica luxuosamente macia, limpa e com aspecto saudável. Esse esfoliante mágico também ajuda a polir cicatrizes, estrias e celulites, além de auxiliar a circulação e combater os radicais livres. Contém FPS contra os raios ultravioleta. ","Sucrose, isopropyl palmitate, coffea arabica seed powder, triticum vulgare germ oil, orbignya oleifera seed oil.",7,7,7,"Beauté,Rosto e Corpo",9,"67,50","0,300",https://abbiacasa.com.br/import-image/BEA01.jpg
BEA02,"Condicionador Sólido de Lavanda","Condicionador, Produto para Cabelo, Condicionador Sólido, Condicionador de Lavanda, Condicionador Natural, Produto Livre de Crueldade Animal","BEA03,BA05,BA19,BA26,BA27","Um must-have para quem sofre de queda de cabelos ou quer mantê-los longos e saudáveis, porque estimula o crescimento de células novas. Feito com óleos essenciais de lavanda e óleo de oliva, dá um look glamouroso, cheio de volume e fácil de modelar. 80 mg

Não testado em animais. Sem Sulfatos. Sem Parabenos. Sem Petrolatos. Sem Fragrâncias Artificiais. Sem Liberadores De Formol. Sem Bht, Bha, Edta. Sem Corantes Sintéticos
","FORA DE LINHA - CONFIRMAR",3,7,7,"Beauté,Cabelo",9,"42,21","0,300",https://abbiacasa.com.br/import-image/BEA02.jpg
